name,status,ID
EXPRESSVPN,activa,91630d76-1b1a-4047-acfb-c31d9e8f0c8c
HULU,activa,62c7f3cc-ace9-4889-a8f2-0c6c82e3b698
PRIME VIDEO,activa,ed9abc31-799d-42e5-a6c8-1cb68ce8f2fe
DISCORD,activa,b6c0c9da-f1a3-465a-8493-206f13af293e
LEARN ENOUGH,activa,1372dea1-612f-4077-81a2-4de247b0d783
FLUENTU,activa,7bc7f733-4a46-4d39-8741-bd9f852d38eb
SHEIN,activa,a9c010d0-d7e7-474e-88cc-f3c40bd431b8
NATACHA OCEANE,activa,6d8d4311-a4e9-4421-ab08-50e907508b28
TECNO ESHOP,activa,204e588a-fc04-4276-9b31-46cbbb4fbd9c
EVENTOS GLOBALES,activa,f7ec425c-8802-4f57-adc7-5f328994be2e
TOTAL PLAY,activa,c9f61215-458c-4c87-aff7-42346633c8c1
PATREON,activa,034b2e41-351f-4457-a607-bb285ef1c37a
WIKIMEDIA,activa,ebce3d71-8fb5-4bc1-b24f-c6f946d9ede5
STORYTEL,activa,0e98ec53-7c0a-45fc-8972-a2c7baea317e
LA PLANCHETTA,activa,0975ad35-b478-4535-89e0-d229b544190b
LINKEDIN,activa,edf53c26-ec80-4ea2-960c-137c4cf43bae
BINANCE,activa,ee8686a4-2089-4847-9e57-d719ff31d81b
AMAZON MUSIC,activa,13bab99e-e628-4897-9527-0d1ffdbb1de4
DIGITAL OCEAN,activa,6b432f61-91a0-4a91-9c43-aba1df5a408d
OPENPAY,activa,b6fcf0ab-96e8-47c9-8acd-f1da31ba7b80
FRIZATA,activa,e9a1301c-d587-4aae-af20-93b5c18718ae
CODECADEMY,activa,57ad3b21-986e-41c8-b229-0fcd64cad725
BUMBLE,activa,41d4e08a-dc79-4b45-9b31-56da9d0ae735
FORMULA UNO,activa,964d2b4d-b6d2-4f32-b640-51fa99406980
SUPERCELL,activa,9b5c49b6-2235-4bdd-b4c8-af1001e093cf
MUNDO MANIAS,activa,4add7756-84a0-43d0-9398-e9323fa92e93
EBAY,activa,6b061373-b685-4ee6-bf6f-533b2f811eb7
EDETSA,activa,b1595e68-3258-4bcc-94e0-2e76393c6a87
BIEN LIMPITO,activa,d21ba9bc-d8fd-4eab-aad7-f50ecfd905dc
VS3,activa,0439086e-e890-40aa-8ea3-3592f5eacdc5
H&M,activa,7f002e77-77a3-4f4e-b142-eac0b6efa1f7
TUENTI,activa,c5e43fcf-22c0-4e02-b0a1-44c34554c510
CORNERSHOP,activa,406fdae2-e1b9-427b-bdf2-22d9b23edcbe
NORDVPN,activa,d5f45283-3cdb-47f5-92c7-2c00baf5d963
AIRBNB,activa,79c073f3-a0d1-40bb-9183-7ac59df96a1a
GOOGLE COLABORATORY,activa,8a84cdbb-cbf4-40ca-9fb0-b1aab2ceed06
METROGAS CDMX,activa,b7773f49-6579-4f42-8db5-84c416d45556
DEVOTO ELECTRONICS,activa,7829fac0-93f7-4993-8392-6fc00f005314
MONOKAI,activa,b673a171-8c85-4bd6-bc27-ec2287652a51
OKBOY,activa,4d4a0457-e9e7-42e0-81fa-519cd7ca202d
MEDIUM,activa,49c43bf5-f99a-4711-abf5-235973aada04
TWITCH,activa,79a7d501-8454-46db-a9b7-ae680d7ec86f
TULOTERO,activa,9eb6e322-adba-4b5e-8939-ae1c90c6fd00
REPLIT,activa,d5a3b2ec-3fbe-4068-b9fa-401dd37af8b6
MAIMAG,activa,2f0a7d98-d92a-4c74-b6d9-3c7bc4d5aa9e
PENZU,activa,caf4ba23-fb71-4d32-a137-f147c7a5d36f
FUNFOTOS,activa,b788502c-c421-478a-bb16-62e82f2a44e8
SELF GROWTH PLAN,activa,6f0d2fb7-9531-4e95-8668-7a7b74834268
CRITERION CHANNEL,activa,629bf897-edd0-4d00-8647-14a216befb24
SUBLIME,activa,e204e7f9-982c-4353-beca-62a9fc4059e6
FINTUAL,activa,b474a71f-6c00-4abe-af17-c68950173d79
DOWN DOG,activa,037177e7-0d66-4374-8914-1362c9b7e5c8
NADAR DE NOCHE,activa,f0a6484e-cfcc-4845-ae82-3f3b682a030b
TALONRO,activa,b0954564-0a6f-4f7e-afc7-853298e092d0
OCHO LA SUPER APP,activa,f1f22cb5-d333-4a31-a6a0-d8896254dfe3
UDEMY,activa,ad679b70-5c40-46db-9569-eb6168b76598
CURIOSITYSTREAM,activa,ba9f205c-96a7-4570-87a6-34f464bf5a90
WISE,activa,01a856b5-f3c4-4fd2-9a07-45870accb7ee
PROMARKETLATINO,activa,d85ff699-102a-4167-a451-dba5afbfd3c2
MINECRAFT,activa,7f8a67c2-07d1-4a83-9d01-89a212b716b4
BANDCAMP,activa,2eee0459-5936-4a1b-9db5-5e2d507b6601
ESTADIOTNTS,activa,25ed639b-da47-4cf9-b747-14f31a863c2c
BOARDGAMEARENA,activa,ff3bec27-720f-4e6c-bd6e-cb2bb6854c7e
MERCURYO,activa,06ac34c6-25a9-435b-a9c9-36a7c1d7f87a
KOROTO,activa,6922835b-af48-4a49-887f-85c0e9d98bd2
BLINKS LABS,activa,4b06a3b2-204c-47e9-89b9-cf8d23b7e666
UNIVERSIDAD DE CHILE,activa,a493378c-eecf-4647-bae3-e369fd34dd3d
ATRESPLAYER PREMIUM,activa,a1079da3-b39f-4cb7-9746-d5f07b55b92e
TYPEFORM,activa,861fa752-2795-4eac-a15f-b27359b3b330
YOUTUBE MUSIC,activa,7e6ec7ee-e284-4e9e-b2d8-c2770808a81f
NESPRESSO,activa,be1ebd08-ebfb-4279-8b2c-6c0afee7af9e
KTRONIX,activa,2aca4be5-4b66-4a7e-aaca-9e0799d2b6a4
DDD YOGA,activa,acb63842-69c4-4fe7-9296-bcc711354f6e
